id,Author,Ocena,Poleca,Kupił,Data wystawienia opini,Data kupna,Przydatna opinia,Nieprzydatna opinia,Treść wiadomości,Wady,Zalety
14675104,Użytkownik Ceneo,5,Polecam,True,2021-07-02 12:39:44,2021-07-02 12:39:44,1,2,"Szczoteczka Philips Sonicare z technologią SenseIQ jest moją pierwszą szczoteczką soniczną. To model dla osób ceniących sobie profesjonalne oczyszczanie w domowych warunkach oraz ceniących sobie nowinki technologiczne, dzięki którym szczotkowanie staje się nie tylko przyjemne i łatwe, ale przede wszystkim indywidualnie dopasowane do stylu szczotkowania. Zęby po szczotkowaniu są dogłębnie oczyszczone, dziąsła nie podrażnione a i odcień zębów stał się bielszy. Niesamowicie poręczna, wydajna (nie ma konieczności częstego ładowania) ale przede wszystkim łatwa w użyciu sprawia, że moja higiena stała się prawdziwą przyjemnością.",,"['głośność pracy', 'łatwość czyszczenia', 'wygoda używania']"
14884357,Gothes,5,Polecam,True,2021-08-25 19:07:09,2021-07-25 19:05:46,0,0,"Szczoteczka jest bardzo dobra! Wygodna w użytkowaniu, aplikacja dobrze z nią współpracuje. Spełniła moje oczekiwania. POLECAM :)",,"['etui podróżne', 'głośność pracy', 'łatwość czyszczenia', 'wygoda używania']"
15482958,a...h,5,Polecam,True,2021-12-31 11:04:51,2021-12-28 13:55:28,0,0,Genialna szczoteczka!,,"['etui podróżne', 'głośność pracy', 'łatwość czyszczenia', 'wygoda używania']"
15228738,r...n,4,Polecam,True,2021-11-19 06:39:19,2021-10-19 08:45:08,0,0,jest ok,,"['etui podróżne', 'głośność pracy', 'łatwość czyszczenia', 'wygoda używania']"
14701417,DorotaKatarzyna,5,Polecam,True,2021-07-09 07:59:11,2021-07-09 07:59:11,0,0,"Do tej pory używałam zwykłej szczoteczki elektrycznej, ale dopiero jak zaczęłam używać szczoteczki sonicznej Philips to mogę powiedzieć, że higiena mojej jamy ustnej jest na najwyższym poziomie. Widzę wyraźną różnicę w odcieniu moich zębów - stały się dużo bielsze! Ogromnym plusem jest również to, że szczoteczkę mogę ładować tylko raz na 2 tygodnie! Idealnie szczotkuje i przypomina o wymianie końcówki, niesamowite!",,"['etui podróżne', 'głośność pracy', 'łatwość czyszczenia', 'wygoda używania']"
14679143,Monikaw,5,Polecam,True,2021-07-03 16:24:21,2021-07-03 16:24:21,0,0,"Szczoteczka jest bardzo fajna. Odkąd jej używam, czuje bardzo dużą różnicę w ""czystości"" zębów. Szczoteczka dobrze radzi sobie z wymywaniem pozostałości jedzenia i dobrze dociera nawet w trudniej dostępne miejsca. Jestem bardzo zadowolona z aplikacji, która podczas mycia dokładnie podpowiada, co i jak długo myć.",,"['etui podróżne', 'głośność pracy', 'łatwość czyszczenia', 'wygoda używania']"
14675203,Użytkownik Ceneo,5,Polecam,True,2021-07-02 12:58:21,2021-07-02 12:58:21,0,0,"Szczoteczka soniczna Philips jest rewelacyjna, działa bez zarzutu, doskonale czyści zęby. Końcówka jest delikatna, a jednocześnie bardzo dobrze czyści. Szczoteczka soniczna Philips ma wiele ciekawych funkcji, np. kontroluję siłę nacisku na zęby i gdy nacisk jest za mocny wydaje dźwięk. Bardzo dobrze działa z aplikacją Philips Sonicare.",,"['głośność pracy', 'łatwość czyszczenia', 'wygoda używania']"
14672324,Użytkownik Ceneo,5,Polecam,True,2021-07-01 21:24:37,2021-07-01 21:24:37,0,0,Pierwszy raz jestem tak zaskoczona efektem używania szczoteczki do zębów. Szczoteczka PHILIPS SONICARE 9900 PRESTIGE HX9992/11 jest świetna. Dokładnie myje zęby ale również przestrzeń między nimi. Jest delikatna a zarazem skuteczna. Dodatkowo jest bardzo ładnie i solidnie wykonana. Polecam,,"['głośność pracy', 'łatwość czyszczenia', 'wygoda używania']"
14675487,Użytkownik Ceneo,5,Polecam,True,2021-07-02 14:07:10,2021-07-02 14:07:10,0,0,"Miękkość, delikatność i dokładność to jest to czego oczekiwałam od szczoteczek elektrycznych i bardzo się cieszę, że trafiłam na Philips Sonicare. Efekt czułam (o dziwo!) po pierwszym użyciu i zakochałam się w subtelnym wyglądzie :) Prosta aplikacja, łatwa obsługa, także jestem na tak :)",,"['głośność pracy', 'łatwość czyszczenia', 'wygoda używania']"
14615478,Aleksandra,5,Polecam,True,2021-06-17 20:35:30,2021-06-17 20:35:30,0,0,"Najlepsza szczoteczka , której do tej pory używałam . Bardzo dobrze i dokładnie czyści nie tylko same żeby , ale i przestrzeń między nimi . A dodatkowo jest delikatna dla dziąseł . Super jest to , że możemy sami wybrać sobie intensywność mycia dzięki 3 stopniowej regulacji .",,"['głośność pracy', 'łatwość czyszczenia', 'wygoda używania']"
14709551,Użytkownik Ceneo,5,Polecam,True,2021-07-12 10:43:56,2021-07-12 10:43:56,0,0,"Szczoteczka jest wg najlepszym produktem do higieny jamy ustnej na rynku. Doskonale czyści zęby i masuje dziąsła, jest cicha i wygodna w użyciu a jej dodatkowe funkcje jak aplikacja i cała sztuczna inteligencja pozwalają naprawdę dokładnie zadbać o zdrowy uśmiech.",,"['etui podróżne', 'głośność pracy', 'wygoda używania']"
14709768,Użytkownik Ceneo,5,Polecam,True,2021-07-12 11:16:58,2021-07-12 11:16:58,0,0,"Szczoteczka,która naprawdę czyści. Wiele funkcji ,które ulatwiają codzienna higienę jamy ustnej. Doskonale czyszczenie oraz dbałość nie tylko o zęby,ale również o dziasla. Najlepszy wybór!",,"['etui podróżne', 'głośność pracy', 'łatwość czyszczenia', 'wygoda używania']"
14670690,dankova.klaudia,5,Polecam,True,2021-07-01 14:42:41,2021-07-01 14:42:41,0,0,"Rewelacyjny sprzęt do czyszczenia zębów w zaciszu domowym. Idealnie wyprofilowana, piękny design. Świetnie czyści i co najważniejsze jest cicha.",,"['głośność pracy', 'łatwość czyszczenia', 'wygoda używania']"
